cve,epss,percentile,year,in_kev
CVE-2020-0066,0.00027,0.08097,2020,False
CVE-2020-0067,0.00056,0.17902,2020,False
CVE-2020-0068,0.00035,0.1071,2020,False
CVE-2020-0069,0.00767,0.73881,2020,True
CVE-2020-0070,0.02282,0.85008,2020,False
CVE-2020-0071,0.02282,0.85008,2020,False
CVE-2020-0072,0.02282,0.85008,2020,False
CVE-2020-0073,0.02282,0.85008,2020,False
CVE-2020-0074,5e-05,0.0028,2020,False
CVE-2020-0075,0.00044,0.13785,2020,False
CVE-2020-0076,0.00036,0.11188,2020,False
CVE-2020-0077,0.00044,0.13785,2020,False
CVE-2020-0078,0.00034,0.10564,2020,False
CVE-2020-0079,0.00034,0.10564,2020,False
CVE-2020-0080,0.00085,0.24769,2020,False
CVE-2020-0081,0.00046,0.14807,2020,False
CVE-2020-0082,0.00212,0.43806,2020,False
CVE-2020-0083,0.02439,0.85472,2020,False
CVE-2020-0084,0.00034,0.10568,2020,False
CVE-2020-0085,0.00012,0.01779,2020,False
CVE-2020-0086,0.00187,0.4038,2020,False
CVE-2020-0087,0.00037,0.1137,2020,False
CVE-2020-0088,0.00294,0.53004,2020,False
CVE-2020-0089,0.00014,0.0276,2020,False
CVE-2020-0090,0.00019,0.05529,2020,False
CVE-2020-0091,0.00019,0.05529,2020,False
CVE-2020-0092,0.00013,0.02123,2020,False
CVE-2020-0093,0.00165,0.37354,2020,False
CVE-2020-0094,0.00015,0.03287,2020,False
CVE-2020-0096,0.0237,0.8527,2020,False
CVE-2020-0097,0.00021,0.05989,2020,False
CVE-2020-0098,0.00015,0.03287,2020,False
CVE-2020-0099,0.00037,0.11426,2020,False
CVE-2020-0100,0.00017,0.04141,2020,False
CVE-2020-0101,0.00017,0.04141,2020,False
CVE-2020-0102,0.00015,0.03287,2020,False
CVE-2020-0103,0.01182,0.79133,2020,False
CVE-2020-0104,0.00017,0.04141,2020,False
CVE-2020-0105,0.00014,0.0276,2020,False
CVE-2020-0106,0.00015,0.03505,2020,False
CVE-2020-0107,0.00013,0.02312,2020,False
CVE-2020-0108,0.01836,0.83305,2020,False
CVE-2020-0109,0.00014,0.0276,2020,False
CVE-2020-0110,0.0002,0.05744,2020,False
CVE-2020-0113,0.00107,0.28555,2020,False
CVE-2020-0114,0.00019,0.05516,2020,False
CVE-2020-0115,0.00012,0.01713,2020,False
CVE-2020-0116,0.00014,0.02817,2020,False
CVE-2020-0117,0.00873,0.75624,2020,False
CVE-2020-0118,0.00013,0.02375,2020,False
CVE-2020-0119,0.00144,0.34495,2020,False
CVE-2020-0120,0.00016,0.038,2020,False
CVE-2020-0121,0.00032,0.09678,2020,False
CVE-2020-0122,0.00011,0.01404,2020,False
CVE-2020-0123,0.00144,0.34514,2020,False
CVE-2020-0124,0.00016,0.04058,2020,False
CVE-2020-0125,0.00017,0.04141,2020,False
CVE-2020-0126,0.00013,0.01992,2020,False
CVE-2020-0127,0.00244,0.47888,2020,False
CVE-2020-0128,0.00312,0.5473,2020,False
CVE-2020-0129,0.00015,0.03287,2020,False
CVE-2020-0130,0.00125,0.31304,2020,False
CVE-2020-0131,0.00481,0.65509,2020,False
CVE-2020-0132,0.00034,0.10455,2020,False
CVE-2020-0133,6e-05,0.00437,2020,False
CVE-2020-0134,0.00017,0.04141,2020,False
CVE-2020-0135,0.00015,0.03103,2020,False
CVE-2020-0136,0.00015,0.03255,2020,False
CVE-2020-0137,0.00012,0.01795,2020,False
CVE-2020-0138,0.0552,0.90424,2020,False
CVE-2020-0139,0.00016,0.03821,2020,False
CVE-2020-0140,0.00312,0.5473,2020,False
CVE-2020-0141,0.00175,0.38783,2020,False
CVE-2020-0142,0.00312,0.5473,2020,False
CVE-2020-0143,0.00018,0.04974,2020,False
CVE-2020-0144,0.00018,0.04974,2020,False
CVE-2020-0145,0.00018,0.04974,2020,False
CVE-2020-0146,0.00018,0.04974,2020,False
CVE-2020-0147,0.00016,0.03821,2020,False
CVE-2020-0148,0.00016,0.03821,2020,False
CVE-2020-0149,0.00018,0.04974,2020,False
CVE-2020-0150,0.00015,0.03287,2020,False
CVE-2020-0151,0.00018,0.04974,2020,False
CVE-2020-0152,0.00018,0.04974,2020,False
CVE-2020-0153,0.00016,0.04058,2020,False
CVE-2020-0154,0.00018,0.04974,2020,False
CVE-2020-0155,0.00015,0.03255,2020,False
CVE-2020-0156,0.00017,0.04141,2020,False
CVE-2020-0157,0.00256,0.49269,2020,False
CVE-2020-0158,0.00018,0.04974,2020,False
CVE-2020-0159,0.00062,0.19588,2020,False
CVE-2020-0160,0.01689,0.82594,2020,False
CVE-2020-0161,0.00345,0.57363,2020,False
CVE-2020-0162,0.00345,0.57363,2020,False
CVE-2020-0163,0.00345,0.57363,2020,False
CVE-2020-0164,0.00018,0.04974,2020,False
CVE-2020-0165,0.00014,0.02629,2020,False
CVE-2020-0166,0.00015,0.03287,2020,False
CVE-2020-0167,0.00062,0.19553,2020,False
CVE-2020-0168,0.00481,0.65509,2020,False
CVE-2020-0169,0.00345,0.57363,2020,False
CVE-2020-0170,0.00345,0.57363,2020,False
CVE-2020-0171,0.00345,0.57363,2020,False
CVE-2020-0172,0.00345,0.57363,2020,False
CVE-2020-0173,0.00345,0.57363,2020,False
CVE-2020-0174,0.00345,0.57363,2020,False
CVE-2020-0175,0.00313,0.54783,2020,False
CVE-2020-0176,0.00312,0.5473,2020,False
CVE-2020-0177,0.00011,0.0144,2020,False
CVE-2020-0178,0.00018,0.05067,2020,False
CVE-2020-0179,0.0004,0.12489,2020,False
CVE-2020-0180,0.00244,0.47888,2020,False
CVE-2020-0181,0.09453,0.92976,2020,False
CVE-2020-0182,0.00478,0.65359,2020,False
CVE-2020-0183,0.00016,0.03825,2020,False
CVE-2020-0184,0.00345,0.57363,2020,False
CVE-2020-0185,0.00017,0.04141,2020,False
CVE-2020-0186,0.00016,0.04058,2020,False
CVE-2020-0187,0.00033,0.1025,2020,False
CVE-2020-0188,8e-05,0.00797,2020,False
CVE-2020-0189,0.00345,0.57363,2020,False
CVE-2020-0190,0.00892,0.75971,2020,False
CVE-2020-0191,0.00244,0.47888,2020,False
CVE-2020-0192,0.00244,0.47888,2020,False
CVE-2020-0193,0.0041,0.61716,2020,False
CVE-2020-0194,0.00481,0.65509,2020,False
CVE-2020-0195,0.00244,0.47888,2020,False
CVE-2020-0196,0.0016,0.36697,2020,False
CVE-2020-0197,0.00017,0.04141,2020,False
CVE-2020-0198,0.12017,0.93922,2020,False
CVE-2020-0199,0.00016,0.04058,2020,False
CVE-2020-0200,0.00244,0.47888,2020,False
CVE-2020-0201,0.02455,0.8552,2020,False
CVE-2020-0202,0.00049,0.15794,2020,False
CVE-2020-0203,0.00015,0.03255,2020,False
CVE-2020-0204,0.00043,0.1374,2020,False
CVE-2020-0205,0.00244,0.47888,2020,False
CVE-2020-0206,0.00014,0.02863,2020,False
CVE-2020-0207,0.00244,0.47888,2020,False
CVE-2020-0208,0.00012,0.01801,2020,False
CVE-2020-0209,6e-05,0.00359,2020,False
CVE-2020-0210,0.00013,0.02133,2020,False
CVE-2020-0211,0.00244,0.47888,2020,False
CVE-2020-0212,0.00286,0.52367,2020,False
CVE-2020-0213,0.0041,0.61716,2020,False
CVE-2020-0214,0.00312,0.5473,2020,False
CVE-2020-0215,0.00013,0.02292,2020,False
CVE-2020-0216,0.00016,0.03742,2020,False
CVE-2020-0217,0.00759,0.73711,2020,False
CVE-2020-0218,0.00012,0.01695,2020,False
CVE-2020-0219,0.00017,0.04234,2020,False
CVE-2020-0220,0.00016,0.04058,2020,False
CVE-2020-0221,0.00147,0.34931,2020,False
CVE-2020-0223,0.00147,0.34931,2020,False
CVE-2020-0224,0.00644,0.71098,2020,False
CVE-2020-0225,0.056,0.9049,2020,False
CVE-2020-0226,0.00013,0.02024,2020,False
CVE-2020-0227,0.0001,0.01225,2020,False
CVE-2020-0228,0.00123,0.31077,2020,False
CVE-2020-0229,0.00129,0.3197,2020,False
CVE-2020-0230,0.00147,0.34931,2020,False
CVE-2020-0231,0.00147,0.34931,2020,False
CVE-2020-0232,0.00147,0.34931,2020,False
CVE-2020-0233,0.00015,0.03118,2020,False
CVE-2020-0234,0.00015,0.03287,2020,False
CVE-2020-0235,0.00147,0.34931,2020,False
CVE-2020-0236,0.00312,0.5473,2020,False
CVE-2020-0238,0.00081,0.23891,2020,False
CVE-2020-0239,0.00013,0.02312,2020,False
CVE-2020-0240,0.01575,0.81917,2020,False
CVE-2020-0241,0.00013,0.02024,2020,False
CVE-2020-0242,5e-05,0.00241,2020,False
CVE-2020-0243,0.00012,0.01596,2020,False
CVE-2020-0244,0.00062,0.19553,2020,False
CVE-2020-0245,0.02865,0.86549,2020,False
CVE-2020-0246,0.00015,0.03505,2020,False
CVE-2020-0247,0.00015,0.03227,2020,False
CVE-2020-0248,0.00017,0.04141,2020,False
CVE-2020-0249,0.00017,0.04141,2020,False
CVE-2020-0250,0.00015,0.03505,2020,False
CVE-2020-0251,0.00118,0.30227,2020,False
CVE-2020-0252,0.00199,0.41965,2020,False
CVE-2020-0253,0.00199,0.41965,2020,False
CVE-2020-0254,0.00118,0.30227,2020,False
CVE-2020-0256,0.0004,0.12626,2020,False
CVE-2020-0257,0.00011,0.01392,2020,False
CVE-2020-0258,0.00023,0.06633,2020,False
CVE-2020-0259,0.00013,0.02024,2020,False
CVE-2020-0260,0.00147,0.34931,2020,False
CVE-2020-0261,0.00013,0.02024,2020,False
CVE-2020-0262,0.00015,0.03287,2020,False
CVE-2020-0263,0.00014,0.02863,2020,False
CVE-2020-0264,0.00409,0.61672,2020,False
CVE-2020-0265,0.00015,0.03505,2020,False
CVE-2020-0266,0.00012,0.01713,2020,False
CVE-2020-0267,0.00032,0.09726,2020,False
CVE-2020-0268,0.00013,0.02367,2020,False
CVE-2020-0269,0.00017,0.04141,2020,False
CVE-2020-0270,0.00244,0.47888,2020,False
CVE-2020-0271,0.00015,0.03287,2020,False
CVE-2020-0272,0.00016,0.03821,2020,False
CVE-2020-0273,0.00015,0.03287,2020,False
CVE-2020-0274,0.00017,0.04141,2020,False
CVE-2020-0275,0.0001,0.01225,2020,False
CVE-2020-0276,0.00015,0.03505,2020,False
CVE-2020-0277,0.00012,0.01801,2020,False
CVE-2020-0278,0.00129,0.3197,2020,False
CVE-2020-0279,0.0017,0.37982,2020,False
CVE-2020-0280,0.00018,0.05102,2020,False
CVE-2020-0281,0.002,0.42032,2020,False
CVE-2020-0282,0.002,0.42032,2020,False
CVE-2020-0283,0.00165,0.37303,2020,False
CVE-2020-0284,0.00015,0.03505,2020,False
CVE-2020-0285,0.00015,0.03505,2020,False
CVE-2020-0286,0.00312,0.5473,2020,False
CVE-2020-0287,0.00294,0.53004,2020,False
CVE-2020-0288,0.00015,0.03505,2020,False
CVE-2020-0289,0.00015,0.03505,2020,False
CVE-2020-0290,0.00015,0.03505,2020,False
CVE-2020-0291,0.00018,0.04974,2020,False
CVE-2020-0292,0.00018,0.04974,2020,False
CVE-2020-0293,0.00023,0.06858,2020,False
CVE-2020-0294,0.00013,0.02097,2020,False
CVE-2020-0295,0.00017,0.04141,2020,False
CVE-2020-0296,0.00017,0.04141,2020,False
CVE-2020-0297,0.00017,0.04141,2020,False
CVE-2020-0298,0.00014,0.0276,2020,False
CVE-2020-0299,0.00014,0.0276,2020,False
CVE-2020-0300,0.00312,0.5473,2020,False
CVE-2020-0301,0.00294,0.53004,2020,False
CVE-2020-0302,0.00017,0.04141,2020,False
CVE-2020-0303,0.00372,0.59321,2020,False
CVE-2020-0304,0.00017,0.04141,2020,False
CVE-2020-0305,0.00039,0.1204,2020,False
CVE-2020-0306,0.00015,0.03287,2020,False
CVE-2020-0307,0.00017,0.04141,2020,False
CVE-2020-0308,0.00017,0.04141,2020,False
CVE-2020-0309,0.00016,0.03813,2020,False
CVE-2020-0310,0.00017,0.04141,2020,False
CVE-2020-0311,0.00017,0.04141,2020,False
CVE-2020-0312,0.00017,0.04141,2020,False
CVE-2020-0313,0.00017,0.04141,2020,False
CVE-2020-0314,0.00015,0.03505,2020,False
CVE-2020-0315,0.00017,0.04141,2020,False
CVE-2020-0316,0.00015,0.03505,2020,False
CVE-2020-0317,0.00015,0.03505,2020,False
CVE-2020-0318,0.00017,0.04263,2020,False
CVE-2020-0319,0.00056,0.17854,2020,False
CVE-2020-0320,0.00294,0.53004,2020,False
CVE-2020-0321,0.00409,0.61672,2020,False
CVE-2020-0322,0.00018,0.04974,2020,False
CVE-2020-0323,0.00017,0.04141,2020,False
CVE-2020-0324,0.00244,0.47888,2020,False
CVE-2020-0325,0.00018,0.04974,2020,False
CVE-2020-0326,0.00016,0.04058,2020,False
CVE-2020-0327,0.00015,0.03505,2020,False
CVE-2020-0328,0.00016,0.03821,2020,False
CVE-2020-0329,0.00017,0.04141,2020,False
CVE-2020-0330,0.00017,0.044,2020,False
CVE-2020-0331,0.00014,0.02817,2020,False
CVE-2020-0332,0.00294,0.53004,2020,False
CVE-2020-0333,0.00646,0.71153,2020,False
CVE-2020-0334,0.00016,0.04058,2020,False
CVE-2020-0335,0.00016,0.04058,2020,False
CVE-2020-0336,0.00016,0.04058,2020,False
CVE-2020-0337,0.00014,0.02817,2020,False
CVE-2020-0338,0.0001,0.0114,2020,False
CVE-2020-0339,0.00123,0.30988,2020,False
CVE-2020-0340,0.00244,0.47888,2020,False
CVE-2020-0341,0.00014,0.0276,2020,False
CVE-2020-0342,0.0017,0.37999,2020,False
CVE-2020-0343,0.00015,0.03505,2020,False
CVE-2020-0344,0.00026,0.07768,2020,False
CVE-2020-0345,0.00016,0.03742,2020,False
CVE-2020-0346,0.00015,0.03287,2020,False
CVE-2020-0347,0.00026,0.0786,2020,False
CVE-2020-0348,0.00256,0.49269,2020,False
CVE-2020-0349,0.00018,0.04974,2020,False
CVE-2020-0350,0.00016,0.04058,2020,False
CVE-2020-0351,0.00346,0.57451,2020,False
CVE-2020-0352,0.00026,0.07768,2020,False
CVE-2020-0353,0.00294,0.53004,2020,False
CVE-2020-0354,0.00646,0.71153,2020,False
CVE-2020-0355,0.00244,0.47888,2020,False
CVE-2020-0356,0.00015,0.0301,2020,False
CVE-2020-0357,0.00014,0.02604,2020,False
CVE-2020-0358,0.00015,0.0321,2020,False
CVE-2020-0359,0.00017,0.04651,2020,False
CVE-2020-0360,0.00048,0.15316,2020,False
CVE-2020-0361,0.00244,0.47888,2020,False
CVE-2020-0362,0.00294,0.53004,2020,False
CVE-2020-0363,0.00294,0.53004,2020,False
CVE-2020-0364,0.00244,0.47888,2020,False
CVE-2020-0365,0.00044,0.13803,2020,False
CVE-2020-0366,0.00042,0.13247,2020,False
CVE-2020-0367,0.00165,0.37303,2020,False
CVE-2020-0368,0.00015,0.03205,2020,False
CVE-2020-0369,0.00015,0.03287,2020,False
CVE-2020-0370,0.00244,0.47888,2020,False
CVE-2020-0371,0.00123,0.30988,2020,False
CVE-2020-0372,0.00015,0.03505,2020,False
CVE-2020-0373,0.00012,0.01653,2020,False
CVE-2020-0374,0.00012,0.01713,2020,False
CVE-2020-0375,0.00012,0.01713,2020,False
CVE-2020-0376,0.00123,0.30988,2020,False
CVE-2020-0377,0.02028,0.84128,2020,False
CVE-2020-0378,0.00015,0.03505,2020,False
CVE-2020-0379,0.00103,0.27827,2020,False
CVE-2020-0380,0.056,0.9049,2020,False
CVE-2020-0381,0.01617,0.82174,2020,False
CVE-2020-0382,0.00014,0.02952,2020,False
CVE-2020-0383,0.00136,0.33285,2020,False
CVE-2020-0384,0.00136,0.33285,2020,False
CVE-2020-0385,0.00136,0.33285,2020,False
CVE-2020-0386,0.00042,0.13191,2020,False
CVE-2020-0387,0.00034,0.104,2020,False
CVE-2020-0388,0.0001,0.01225,2020,False
CVE-2020-0389,0.00018,0.05157,2020,False
CVE-2020-0390,0.00013,0.02312,2020,False
CVE-2020-0391,0.00187,0.40396,2020,False
CVE-2020-0392,0.00013,0.02024,2020,False
CVE-2020-0393,0.00017,0.04141,2020,False
CVE-2020-0394,0.00012,0.01713,2020,False
CVE-2020-0395,0.00017,0.04141,2020,False
CVE-2020-0396,0.00017,0.04141,2020,False
CVE-2020-0397,0.00017,0.04141,2020,False
CVE-2020-0398,0.00017,0.04141,2020,False
CVE-2020-0399,0.00017,0.04141,2020,False
CVE-2020-0400,0.00017,0.04141,2020,False
CVE-2020-0401,0.00083,0.24325,2020,False
CVE-2020-0403,0.00013,0.02049,2020,False
CVE-2020-0404,0.002,0.42026,2020,False
CVE-2020-0405,0.00012,0.01801,2020,False
CVE-2020-0406,0.00056,0.17854,2020,False
CVE-2020-0407,0.0001,0.01259,2020,False
CVE-2020-0408,0.00013,0.02024,2020,False
CVE-2020-0409,0.0002,0.05744,2020,False
CVE-2020-0410,0.00015,0.03505,2020,False
CVE-2020-0411,0.00244,0.47888,2020,False
CVE-2020-0412,0.00011,0.0149,2020,False
CVE-2020-0413,0.01617,0.82174,2020,False
CVE-2020-0414,0.00253,0.48871,2020,False
CVE-2020-0415,0.00017,0.04141,2020,False
CVE-2020-0416,0.00241,0.47599,2020,False
CVE-2020-0417,5e-05,0.00287,2020,False
CVE-2020-0418,0.00015,0.03255,2020,False
CVE-2020-0419,0.00015,0.03505,2020,False
CVE-2020-0420,0.0001,0.012,2020,False
CVE-2020-0421,0.00013,0.02024,2020,False
CVE-2020-0422,0.00013,0.02105,2020,False
CVE-2020-0423,0.00949,0.7674,2020,False
CVE-2020-0424,0.00017,0.04141,2020,False
CVE-2020-0425,0.00017,0.04141,2020,False
CVE-2020-0426,0.00017,0.04141,2020,False
CVE-2020-0427,0.00171,0.38221,2020,False
CVE-2020-0428,0.00015,0.0321,2020,False
CVE-2020-0429,0.00019,0.05453,2020,False
CVE-2020-0430,0.0002,0.05744,2020,False
CVE-2020-0431,0.00036,0.11076,2020,False
CVE-2020-0432,0.00033,0.10043,2020,False
CVE-2020-0433,0.00025,0.07395,2020,False
CVE-2020-0434,0.00015,0.03118,2020,False
CVE-2020-0437,0.00013,0.02396,2020,False
CVE-2020-0438,0.00015,0.03287,2020,False
CVE-2020-0439,9e-05,0.01011,2020,False
CVE-2020-0440,0.00012,0.01713,2020,False
CVE-2020-0441,0.00476,0.65274,2020,False
CVE-2020-0442,0.00805,0.74529,2020,False
CVE-2020-0443,0.0023,0.45959,2020,False
CVE-2020-0444,0.00016,0.03975,2020,False
CVE-2020-0445,0.00164,0.37228,2020,False
CVE-2020-0446,0.00164,0.37228,2020,False
CVE-2020-0447,0.00147,0.34931,2020,False
CVE-2020-0448,0.00015,0.03505,2020,False
CVE-2020-0449,0.00288,0.52551,2020,False
CVE-2020-0450,0.00244,0.47888,2020,False
CVE-2020-0451,0.02865,0.86549,2020,False
CVE-2020-0452,0.16284,0.94959,2020,False
CVE-2020-0453,0.00032,0.09678,2020,False
CVE-2020-0454,0.00027,0.08107,2020,False
CVE-2020-0455,0.00164,0.37228,2020,False
CVE-2020-0456,0.00164,0.37228,2020,False
CVE-2020-0457,0.00164,0.37228,2020,False
CVE-2020-0458,0.00351,0.57856,2020,False
CVE-2020-0459,0.00014,0.02701,2020,False
CVE-2020-0460,0.00172,0.38358,2020,False
CVE-2020-0463,0.01617,0.82174,2020,False
CVE-2020-0464,0.00017,0.04141,2020,False
CVE-2020-0465,0.00033,0.10063,2020,False
CVE-2020-0466,0.00038,0.11618,2020,False
CVE-2020-0467,0.00017,0.04141,2020,False
CVE-2020-0468,0.00013,0.02312,2020,False
CVE-2020-0469,0.00014,0.02863,2020,False
CVE-2020-0470,0.00562,0.68732,2020,False
CVE-2020-0471,0.02455,0.8552,2020,False
CVE-2020-0473,0.00012,0.01807,2020,False
CVE-2020-0474,0.00014,0.02604,2020,False
CVE-2020-0475,0.00049,0.15794,2020,False
CVE-2020-0476,0.00018,0.04974,2020,False
CVE-2020-0477,0.00015,0.03505,2020,False
CVE-2020-0478,0.00056,0.17854,2020,False
CVE-2020-0479,0.00042,0.13247,2020,False
CVE-2020-0480,0.00047,0.151,2020,False
CVE-2020-0481,0.00012,0.01621,2020,False
CVE-2020-0482,0.00018,0.04974,2020,False
CVE-2020-0483,0.00019,0.05474,2020,False
CVE-2020-0484,0.00019,0.05474,2020,False
CVE-2020-0485,0.00014,0.0276,2020,False
CVE-2020-0486,0.00012,0.01779,2020,False
CVE-2020-0488,0.00244,0.47888,2020,False
CVE-2020-0489,0.00481,0.65509,2020,False
CVE-2020-0490,0.00244,0.47888,2020,False
CVE-2020-0491,0.00294,0.53004,2020,False
CVE-2020-0492,0.0041,0.61716,2020,False
CVE-2020-0493,0.00017,0.04141,2020,False
CVE-2020-0494,0.0041,0.61716,2020,False
CVE-2020-0495,0.00017,0.04141,2020,False
CVE-2020-0496,0.00019,0.05519,2020,False
CVE-2020-0497,0.00015,0.03505,2020,False
CVE-2020-0498,0.00229,0.45841,2020,False
CVE-2020-0499,0.07954,0.92219,2020,False
CVE-2020-0500,0.00017,0.04141,2020,False
CVE-2020-0501,0.00059,0.1871,2020,False
CVE-2020-0502,0.00055,0.17443,2020,False
CVE-2020-0503,0.0006,0.19003,2020,False
CVE-2020-0504,0.00075,0.22778,2020,False
CVE-2020-0505,0.00058,0.18555,2020,False
CVE-2020-0506,0.00053,0.16821,2020,False
CVE-2020-0507,0.00049,0.15527,2020,False
CVE-2020-0508,0.00037,0.1154,2020,False
CVE-2020-0510,0.00058,0.18316,2020,False
CVE-2020-0511,0.0005,0.16101,2020,False
CVE-2020-0512,0.0005,0.16101,2020,False
CVE-2020-0513,0.00058,0.18316,2020,False
CVE-2020-0514,0.00037,0.1154,2020,False
CVE-2020-0515,0.00077,0.2322,2020,False
CVE-2020-0516,0.00076,0.22893,2020,False
CVE-2020-0517,0.00055,0.17443,2020,False
CVE-2020-0518,0.0005,0.16101,2020,False
CVE-2020-0519,0.00054,0.17225,2020,False
CVE-2020-0520,0.00078,0.2342,2020,False
CVE-2020-0521,0.00058,0.18316,2020,False
CVE-2020-0522,0.00055,0.17569,2020,False
CVE-2020-0523,0.00055,0.17569,2020,False
CVE-2020-0524,0.00033,0.10005,2020,False
CVE-2020-0525,0.00055,0.17569,2020,False
CVE-2020-0526,0.00056,0.17708,2020,False
CVE-2020-0527,0.00058,0.18392,2020,False
CVE-2020-0528,0.00054,0.17225,2020,False
CVE-2020-0529,0.00072,0.22046,2020,False
CVE-2020-0530,0.00058,0.18316,2020,False
CVE-2020-0531,0.00449,0.63962,2020,False
CVE-2020-0532,0.00252,0.48816,2020,False
CVE-2020-0533,0.00042,0.13094,2020,False
CVE-2020-0534,0.00916,0.76327,2020,False
CVE-2020-0535,0.00859,0.75401,2020,False
CVE-2020-0536,0.00725,0.72982,2020,False
CVE-2020-0537,0.00425,0.62586,2020,False
CVE-2020-0538,0.01402,0.80801,2020,False
CVE-2020-0539,0.00053,0.1704,2020,False
CVE-2020-0540,0.01991,0.83962,2020,False
CVE-2020-0541,0.00077,0.23166,2020,False
CVE-2020-0542,0.00068,0.21181,2020,False
CVE-2020-0543,0.00481,0.65519,2020,False
CVE-2020-0544,0.00058,0.18316,2020,False
CVE-2020-0545,0.00104,0.28005,2020,False
CVE-2020-0546,0.00054,0.17225,2020,False
CVE-2020-0547,0.00089,0.25433,2020,False
CVE-2020-0548,0.00405,0.6138,2020,False
CVE-2020-0549,0.00086,0.24832,2020,False
CVE-2020-0550,0.0006,0.19003,2020,False
CVE-2020-0551,0.03949,0.88572,2020,False
CVE-2020-0553,0.00052,0.16699,2020,False
CVE-2020-0554,0.01476,0.8133,2020,False
CVE-2020-0555,0.00058,0.18316,2020,False
CVE-2020-0556,0.00161,0.3683,2020,False
CVE-2020-0557,0.00074,0.22619,2020,False
CVE-2020-0558,0.00472,0.65036,2020,False
CVE-2020-0559,0.00026,0.07806,2020,False
CVE-2020-0560,0.00089,0.25433,2020,False
CVE-2020-0561,0.00169,0.37901,2020,False
CVE-2020-0562,0.00121,0.30698,2020,False
CVE-2020-0563,0.00089,0.25433,2020,False
CVE-2020-0564,0.00121,0.30698,2020,False
CVE-2020-0565,0.00068,0.21089,2020,False
CVE-2020-0566,0.00225,0.45341,2020,False
CVE-2020-0567,0.0005,0.16101,2020,False
CVE-2020-0568,0.00113,0.29604,2020,False
CVE-2020-0569,0.0033,0.56308,2020,False
CVE-2020-0570,0.00329,0.56211,2020,False
CVE-2020-0571,0.0006,0.19003,2020,False
CVE-2020-0572,0.00054,0.1728,2020,False
CVE-2020-0573,0.0006,0.19003,2020,False
CVE-2020-0574,0.00062,0.19521,2020,False
CVE-2020-0575,0.0006,0.19003,2020,False
CVE-2020-0576,0.00351,0.57878,2020,False
