cell_K,seed,window,n_pairs,n_auto,n_review,n_defer,n_acted,n_success,n_rollback,n_deferred_at_act,rollback_rate,cascade_detected,halt_triggered,mttr_avg_windows,coverage_to_date,strategy
50,114,8,1779,21,423,1335,21,19,1,1,0.0476,False,False,0.0,1.0,AutoHeal
50,114,9,1767,47,554,1166,47,44,2,1,0.0426,False,False,0.0,1.0,AutoHeal
50,114,10,1724,80,698,946,50,45,2,3,0.04,False,False,0.0,1.0,AutoHeal
50,114,11,1681,138,723,820,50,44,3,3,0.06,False,False,0.0,1.0,AutoHeal
50,114,12,1639,96,754,789,50,48,0,2,0.0,False,False,0.0,1.0,AutoHeal
50,115,1,1645,7,14,1624,7,7,0,0,0.0,False,False,0.0,0.2414,AutoHeal
50,115,2,1646,10,15,1621,10,8,0,2,0.0,False,False,0.0,0.4839,AutoHeal
50,115,3,1642,4,15,1623,4,4,0,0,0.0,False,False,0.0,0.7037,AutoHeal
50,115,4,1642,9,59,1574,9,8,1,0,0.1111,False,True,0.0,0.8438,AutoHeal
50,115,5,1634,9,182,1443,9,9,0,0,0.0,False,False,0.0,0.973,AutoHeal
50,115,6,1626,21,406,1199,21,19,2,0,0.0952,False,False,0.0,1.0,AutoHeal
50,115,7,1608,26,491,1091,26,24,1,1,0.0385,False,False,0.0,1.0,AutoHeal
50,115,8,1588,1,92,1495,1,1,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,115,9,1589,36,541,1012,36,34,0,2,0.0,False,False,0.0,1.0,AutoHeal
50,115,10,1558,83,650,825,50,48,2,0,0.04,False,False,0.0,1.0,AutoHeal
50,115,11,1511,55,691,765,50,47,3,0,0.06,False,False,0.0,1.0,AutoHeal
50,115,12,1469,36,630,803,36,35,1,0,0.0278,False,False,0.0,1.0,AutoHeal
50,116,1,1776,14,20,1742,14,13,0,1,0.0,False,False,0.0,0.3095,AutoHeal
50,116,2,1768,8,19,1741,8,6,2,0,0.25,False,True,0.0,0.5278,AutoHeal
50,116,3,1762,6,19,1737,6,6,0,0,0.0,False,False,0.0,0.6944,AutoHeal
50,116,4,1759,11,57,1691,11,10,0,1,0.0,False,False,0.0,0.8537,AutoHeal
50,116,5,1753,5,230,1518,5,5,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,116,6,1754,1,160,1593,1,1,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,116,7,1755,26,405,1324,26,23,2,1,0.0769,False,False,0.0,1.0,AutoHeal
50,116,8,1738,6,412,1320,6,5,1,0,0.1667,False,True,0.0,1.0,AutoHeal
50,116,9,1733,36,567,1130,36,34,2,0,0.0556,False,False,0.0,1.0,AutoHeal
50,116,10,1706,1,3,1702,1,1,0,0,0.0,False,False,0.0,0.9905,AutoHeal
50,116,11,1707,1,306,1400,1,1,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,116,12,1708,1,25,1682,1,1,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,117,1,1829,13,10,1806,13,12,1,0,0.0769,False,False,0.0,0.3871,AutoHeal
50,117,2,1824,3,9,1812,3,2,1,0,0.3333,False,True,0.0,0.6087,AutoHeal
50,117,3,1822,8,19,1795,8,6,2,0,0.25,False,True,0.0,0.7407,AutoHeal
50,117,4,1816,4,69,1743,4,3,1,0,0.25,False,True,0.0,0.92,AutoHeal
50,117,5,1813,1,69,1743,1,1,0,0,0.0,False,False,0.0,0.96,AutoHeal
50,117,6,1814,26,395,1393,26,24,1,1,0.0385,False,False,0.0,1.0,AutoHeal
50,117,7,1793,4,359,1430,4,4,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,117,8,1794,69,622,1103,50,47,2,1,0.04,False,False,0.0,1.0,AutoHeal
50,117,9,1750,12,548,1190,12,8,4,0,0.3333,False,True,0.0,1.0,AutoHeal
50,117,10,1742,93,764,885,50,47,2,1,0.04,False,False,0.0,1.0,AutoHeal
50,117,11,1695,77,748,870,50,46,3,1,0.06,False,False,0.0,1.0,AutoHeal
50,117,12,1655,118,828,709,50,44,3,3,0.06,False,False,0.0,1.0,AutoHeal
50,118,1,1740,15,13,1712,15,14,0,1,0.0,False,False,0.0,0.3256,AutoHeal
50,118,2,1734,8,12,1714,8,8,0,0,0.0,False,False,0.0,0.5789,AutoHeal
50,118,3,1729,5,15,1709,5,4,0,1,0.0,False,False,0.0,0.7879,AutoHeal
50,118,4,1729,1,15,1713,1,1,0,0,0.0,False,False,0.0,0.871,AutoHeal
50,118,5,1732,9,57,1666,9,9,0,0,0.0,False,False,0.0,0.9474,AutoHeal
50,118,6,1726,6,210,1510,6,6,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,118,7,1723,26,422,1275,26,24,1,1,0.0385,False,False,0.0,1.0,AutoHeal
50,118,8,1704,31,490,1183,31,30,1,0,0.0323,False,False,0.0,1.0,AutoHeal
50,118,9,1678,21,527,1130,21,17,4,0,0.1905,False,True,0.0,1.0,AutoHeal
50,118,10,1661,70,711,880,50,46,2,2,0.04,False,False,0.0,1.0,AutoHeal
50,118,11,1618,4,554,1060,4,3,1,0,0.25,False,True,0.0,1.0,AutoHeal
50,118,12,1615,1,551,1063,1,1,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,119,1,1705,5,18,1682,5,5,0,0,0.0,False,False,0.0,0.1852,AutoHeal
50,119,2,1703,13,15,1675,13,13,0,0,0.0,False,False,0.0,0.5143,AutoHeal
50,119,3,1694,7,28,1659,7,7,0,0,0.0,False,False,0.0,0.8333,AutoHeal
50,119,4,1688,9,107,1572,9,9,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,119,5,1683,19,433,1231,19,16,1,2,0.0526,False,False,0.0,1.0,AutoHeal
50,119,6,1670,6,422,1242,6,6,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,119,7,1666,66,656,944,50,48,1,1,0.02,False,False,0.0,1.0,AutoHeal
50,119,8,1622,67,688,867,50,43,5,2,0.1,False,False,0.0,1.0,AutoHeal
50,119,9,1581,17,635,929,17,16,1,0,0.0588,False,False,0.0,1.0,AutoHeal
50,119,10,1565,83,748,734,50,46,4,0,0.08,False,False,0.0,1.0,AutoHeal
50,119,11,1522,15,594,913,15,14,1,0,0.0667,False,False,0.0,1.0,AutoHeal
50,119,12,1510,1,44,1465,1,1,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,120,1,1803,3,22,1778,3,3,0,0,0.0,False,False,0.0,0.1034,AutoHeal
50,120,2,1801,14,14,1773,14,14,0,0,0.0,False,False,0.0,0.425,AutoHeal
50,120,3,1790,9,33,1748,9,9,0,0,0.0,False,False,0.0,0.7429,AutoHeal
50,120,4,1785,5,141,1639,5,5,0,0,0.0,False,False,0.0,0.9118,AutoHeal
50,120,5,1781,33,420,1328,33,25,4,4,0.1212,False,True,0.0,1.0,AutoHeal
50,120,6,1756,4,410,1342,4,3,1,0,0.25,False,True,0.0,1.0,AutoHeal
50,120,7,1753,51,589,1113,50,49,0,1,0.0,False,False,0.0,1.0,AutoHeal
50,120,8,1707,77,794,836,50,46,3,1,0.06,False,False,0.0,1.0,AutoHeal
50,120,9,1664,1,0,1663,1,1,0,0,0.0,False,False,0.0,0.9936,AutoHeal
50,120,10,1665,56,743,866,50,47,3,0,0.06,False,False,0.0,1.0,AutoHeal
50,120,11,1620,99,824,697,50,44,4,2,0.08,False,False,0.0,1.0,AutoHeal
50,120,12,1583,1,3,1579,1,1,0,0,0.0,False,False,0.0,0.996,AutoHeal
50,121,1,1734,7,21,1706,7,7,0,0,0.0,False,False,0.0,0.2059,AutoHeal
50,121,2,1730,11,18,1701,11,10,0,1,0.0,False,False,0.0,0.4722,AutoHeal
50,121,3,1720,4,18,1698,4,4,0,0,0.0,False,False,0.0,0.7,AutoHeal
50,121,4,1716,10,42,1664,10,10,0,0,0.0,False,False,0.0,0.8158,AutoHeal
50,121,5,1708,12,221,1475,12,11,1,0,0.0833,False,False,0.0,0.9767,AutoHeal
50,121,6,1700,1,252,1447,1,1,0,0,0.0,False,False,0.0,0.9773,AutoHeal
50,121,7,1700,57,548,1095,50,43,5,2,0.1,False,False,0.0,1.0,AutoHeal
50,121,8,1658,70,658,930,50,45,3,2,0.06,False,False,0.0,1.0,AutoHeal
50,121,9,1616,82,696,838,50,44,3,3,0.06,False,False,0.0,1.0,AutoHeal
50,121,10,1575,93,737,745,50,44,5,1,0.1,False,False,0.0,1.0,AutoHeal
50,121,11,1536,2,425,1109,2,2,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,121,12,1537,1,0,1536,1,1,0,0,0.0,False,False,0.0,0.9955,AutoHeal
50,122,1,1855,8,21,1826,8,7,0,1,0.0,False,False,0.0,0.1795,AutoHeal
50,122,2,1849,10,17,1822,10,8,1,1,0.1,False,False,0.0,0.3846,AutoHeal
50,122,3,1842,6,15,1821,6,6,0,0,0.0,False,False,0.0,0.5526,AutoHeal
50,122,4,1840,8,18,1814,8,8,0,0,0.0,False,False,0.0,0.725,AutoHeal
50,122,5,1837,8,138,1691,8,6,1,1,0.125,False,True,0.0,0.9211,AutoHeal
50,122,6,1831,12,302,1517,12,12,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,122,7,1823,36,570,1217,36,30,3,3,0.0833,False,False,0.0,1.0,AutoHeal
50,122,8,1795,1,241,1553,1,1,0,0,0.0,False,False,0.0,0.9873,AutoHeal
50,122,9,1795,25,617,1153,25,23,1,1,0.04,False,False,0.0,1.0,AutoHeal
50,122,10,1775,7,608,1160,7,7,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,122,11,1772,64,690,1018,50,46,3,1,0.06,False,False,0.0,1.0,AutoHeal
50,122,12,1727,114,700,913,50,46,1,3,0.02,False,False,0.0,1.0,AutoHeal
50,123,1,1709,9,13,1687,9,9,0,0,0.0,False,False,0.0,0.3462,AutoHeal
50,123,2,1702,9,19,1674,9,8,1,0,0.1111,False,True,0.0,0.68,AutoHeal
50,123,3,1694,2,22,1670,2,2,0,0,0.0,False,False,0.0,0.8636,AutoHeal
50,123,4,1693,5,83,1605,5,5,0,0,0.0,False,False,0.0,0.8889,AutoHeal
50,123,5,1691,41,467,1183,41,36,3,2,0.0732,False,False,0.0,1.0,AutoHeal
50,123,6,1660,11,469,1180,11,11,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,123,7,1652,60,618,974,50,46,4,0,0.08,False,False,0.0,1.0,AutoHeal
50,123,8,1611,115,717,779,50,47,1,2,0.02,False,False,0.0,1.0,AutoHeal
50,123,9,1565,72,732,761,50,44,2,4,0.04,False,False,0.0,1.0,AutoHeal
50,123,10,1523,48,718,757,48,45,3,0,0.0625,False,False,0.0,1.0,AutoHeal
50,123,11,1482,125,799,558,50,44,5,1,0.1,False,False,0.0,1.0,AutoHeal
50,123,12,1442,1,114,1327,1,1,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,124,1,1673,4,20,1649,4,4,0,0,0.0,False,False,0.0,0.1333,AutoHeal
50,124,2,1669,16,12,1641,16,14,2,0,0.125,False,True,0.0,0.4615,AutoHeal
50,124,3,1655,2,13,1640,2,1,1,0,0.5,False,True,0.0,0.7308,AutoHeal
50,124,4,1654,4,12,1638,4,4,0,0,0.0,False,False,0.0,0.7931,AutoHeal
50,124,5,1653,3,51,1599,3,3,0,0,0.0,False,False,0.0,0.8966,AutoHeal
50,124,6,1652,7,225,1420,7,7,0,0,0.0,False,False,0.0,0.9706,AutoHeal
50,124,7,1647,39,458,1150,39,36,1,2,0.0256,False,False,0.0,1.0,AutoHeal
50,124,8,1615,7,466,1142,7,7,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,124,9,1612,91,609,912,50,47,2,1,0.04,False,False,0.0,1.0,AutoHeal
50,124,10,1573,86,640,847,50,47,3,0,0.06,False,False,0.0,1.0,AutoHeal
50,124,11,1530,2,0,1528,2,1,1,0,0.5,False,True,0.0,0.9884,AutoHeal
50,124,12,1529,1,0,1528,1,1,0,0,0.0,False,False,0.0,0.9942,AutoHeal
50,125,1,1741,11,16,1714,11,10,1,0,0.0909,False,False,0.0,0.3125,AutoHeal
50,125,2,1735,4,21,1710,4,3,1,0,0.25,False,True,0.0,0.5417,AutoHeal
50,125,3,1732,1,21,1710,1,1,0,0,0.0,False,False,0.0,0.6364,AutoHeal
50,125,4,1733,8,21,1704,8,6,1,1,0.125,False,True,0.0,0.7143,AutoHeal
50,125,5,1727,2,21,1704,2,2,0,0,0.0,False,False,0.0,0.8462,AutoHeal
50,125,6,1727,10,79,1638,10,9,1,0,0.1,False,False,0.0,0.9394,AutoHeal
50,125,7,1722,3,127,1592,3,3,0,0,0.0,False,False,0.0,0.9714,AutoHeal
50,125,8,1720,12,361,1347,12,10,1,1,0.0833,False,False,0.0,0.9778,AutoHeal
50,125,9,1715,5,339,1371,5,5,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,125,10,1713,1,215,1497,1,0,0,1,0.0,False,False,0.0,1.0,AutoHeal
50,125,11,1718,1,235,1482,1,1,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,125,12,1718,12,470,1236,12,11,0,1,0.0,False,False,0.0,1.0,AutoHeal
50,126,1,1706,5,26,1675,5,5,0,0,0.0,False,False,0.0,0.1471,AutoHeal
50,126,2,1706,17,17,1672,17,17,0,0,0.0,False,False,0.0,0.4783,AutoHeal
50,126,3,1689,8,26,1655,8,8,0,0,0.0,False,False,0.0,0.7895,AutoHeal
50,126,4,1683,10,137,1536,10,9,1,0,0.1,False,False,0.0,0.975,AutoHeal
50,126,5,1677,1,14,1662,1,1,0,0,0.0,False,False,0.0,0.9524,AutoHeal
50,126,6,1678,1,17,1660,1,1,0,0,0.0,False,False,0.0,0.9535,AutoHeal
50,126,7,1681,1,146,1534,1,1,0,0,0.0,False,False,0.0,0.9767,AutoHeal
50,126,8,1681,30,439,1212,30,28,2,0,0.0667,False,False,0.0,1.0,AutoHeal
50,126,9,1657,102,632,923,50,45,3,2,0.06,False,False,0.0,1.0,AutoHeal
50,126,10,1612,77,704,831,50,46,4,0,0.08,False,False,0.0,1.0,AutoHeal
50,126,11,1571,3,366,1202,3,3,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,126,12,1568,85,716,767,50,48,1,1,0.02,False,False,0.0,1.0,AutoHeal
50,127,1,1747,5,14,1728,5,4,1,0,0.2,False,True,0.0,0.1667,AutoHeal
50,127,2,1743,1,14,1728,1,1,0,0,0.0,False,False,0.0,0.2381,AutoHeal
50,127,3,1746,8,13,1725,8,7,0,1,0.0,False,False,0.0,0.4444,AutoHeal
50,127,4,1741,7,14,1720,7,7,0,0,0.0,False,False,0.0,0.7037,AutoHeal
50,127,5,1734,7,151,1576,7,5,0,2,0.0,False,False,0.0,0.96,AutoHeal
50,127,6,1731,5,168,1558,5,5,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,127,7,1729,38,471,1220,38,36,1,1,0.0263,False,False,0.0,1.0,AutoHeal
50,127,8,1696,6,410,1280,6,5,1,0,0.1667,False,True,0.0,1.0,AutoHeal
50,127,9,1691,45,596,1050,45,42,1,2,0.0222,False,False,0.0,1.0,AutoHeal
50,127,10,1653,112,758,783,50,47,1,2,0.02,False,False,0.0,1.0,AutoHeal
50,127,11,1609,101,754,754,50,47,2,1,0.04,False,False,0.0,1.0,AutoHeal
50,127,12,1564,1,339,1224,1,1,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,128,1,1752,9,16,1727,9,7,2,0,0.2222,False,True,0.0,0.2692,AutoHeal
50,128,2,1745,2,16,1727,2,2,0,0,0.0,False,False,0.0,0.4286,AutoHeal
50,128,3,1748,10,17,1721,10,8,1,1,0.1,False,False,0.0,0.6296,AutoHeal
50,128,4,1742,4,16,1722,4,4,0,0,0.0,False,False,0.0,0.84,AutoHeal
50,128,5,1742,4,33,1705,4,4,0,0,0.0,False,False,0.0,0.8621,AutoHeal
50,128,6,1740,14,425,1301,14,13,1,0,0.0714,False,False,0.0,0.9744,AutoHeal
50,128,7,1729,80,587,1062,50,48,2,0,0.04,False,False,0.0,1.0,AutoHeal
50,128,8,1686,125,731,830,50,44,5,1,0.1,False,False,0.0,1.0,AutoHeal
50,128,9,1645,60,734,851,50,49,1,0,0.02,False,False,0.0,1.0,AutoHeal
50,128,10,1600,111,781,708,50,46,4,0,0.08,False,False,0.0,1.0,AutoHeal
50,128,11,1559,2,528,1029,2,2,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,128,12,1559,79,792,688,50,46,3,1,0.06,False,False,0.0,1.0,AutoHeal
50,129,1,1790,8,16,1766,8,6,1,1,0.125,False,True,0.0,0.1818,AutoHeal
50,129,2,1784,2,16,1766,2,2,0,0,0.0,False,False,0.0,0.2759,AutoHeal
50,129,3,1784,10,13,1761,10,9,1,0,0.1,False,False,0.0,0.4722,AutoHeal
