cell_K,driver,scorer,window,p_at_50
50,HRS-only,Random,6,0.14
50,HygienePrio-full,CVSS-only,1,0.0872
50,HygienePrio-full,CVSS-only,2,0.0736
50,HygienePrio-full,CVSS-only,3,0.06480000000000001
50,HygienePrio-full,CVSS-only,4,0.0616
50,HygienePrio-full,CVSS-only,5,0.0592
50,HygienePrio-full,CVSS-only,6,0.054400000000000004
50,HygienePrio-full,EPSS-only,1,0.3312
50,HygienePrio-full,EPSS-only,2,0.14880000000000002
50,HygienePrio-full,EPSS-only,3,0.0872
50,HygienePrio-full,EPSS-only,4,0.055200000000000006
50,HygienePrio-full,EPSS-only,5,0.0472
50,HygienePrio-full,EPSS-only,6,0.0344
50,HygienePrio-full,HRS-only,1,0.28400000000000003
50,HygienePrio-full,HRS-only,2,0.2288
50,HygienePrio-full,HRS-only,3,0.1728
50,HygienePrio-full,HRS-only,4,0.10640000000000001
50,HygienePrio-full,HRS-only,5,0.07440000000000001
50,HygienePrio-full,HRS-only,6,0.0496
50,HygienePrio-full,HygienePrio-full,1,0.5952
50,HygienePrio-full,HygienePrio-full,2,0.544
50,HygienePrio-full,HygienePrio-full,3,0.564
50,HygienePrio-full,HygienePrio-full,4,0.5144
50,HygienePrio-full,HygienePrio-full,5,0.5207999999999999
50,HygienePrio-full,HygienePrio-full,6,0.49920000000000003
50,HygienePrio-full,Random,1,0.0944
50,HygienePrio-full,Random,2,0.0824
50,HygienePrio-full,Random,3,0.084
50,HygienePrio-full,Random,4,0.0752
50,HygienePrio-full,Random,5,0.06
50,HygienePrio-full,Random,6,0.0536
50,Random,CVSS-only,1,0.0872
50,Random,CVSS-only,2,0.0888
50,Random,CVSS-only,3,0.09519999999999999
50,Random,CVSS-only,4,0.0984
50,Random,CVSS-only,5,0.11040000000000001
50,Random,CVSS-only,6,0.1056
50,Random,EPSS-only,1,0.3312
50,Random,EPSS-only,2,0.33840000000000003
50,Random,EPSS-only,3,0.348
50,Random,EPSS-only,4,0.3496
50,Random,EPSS-only,5,0.3608
50,Random,EPSS-only,6,0.36719999999999997
50,Random,HRS-only,1,0.28400000000000003
50,Random,HRS-only,2,0.3032
50,Random,HRS-only,3,0.3096
50,Random,HRS-only,4,0.3136
50,Random,HRS-only,5,0.332
50,Random,HRS-only,6,0.33520000000000005
50,Random,HygienePrio-full,1,0.5952
50,Random,HygienePrio-full,2,0.6064
50,Random,HygienePrio-full,3,0.6144
50,Random,HygienePrio-full,4,0.608
50,Random,HygienePrio-full,5,0.628
50,Random,HygienePrio-full,6,0.6328
50,Random,Random,1,0.0944
50,Random,Random,2,0.10880000000000001
50,Random,Random,3,0.11520000000000001
50,Random,Random,4,0.09759999999999999
50,Random,Random,5,0.1048
50,Random,Random,6,0.12
200,CVSS-only,CVSS-only,1,0.0872
200,CVSS-only,CVSS-only,2,0.0992
200,CVSS-only,CVSS-only,3,0.11440000000000002
200,CVSS-only,CVSS-only,4,0.11359999999999999
200,CVSS-only,CVSS-only,5,0.1344
200,CVSS-only,CVSS-only,6,0.1568
200,CVSS-only,EPSS-only,1,0.3312
200,CVSS-only,EPSS-only,2,0.3552
200,CVSS-only,EPSS-only,3,0.3944
200,CVSS-only,EPSS-only,4,0.4032
200,CVSS-only,EPSS-only,5,0.4192
200,CVSS-only,EPSS-only,6,0.4792
200,CVSS-only,HRS-only,1,0.28400000000000003
200,CVSS-only,HRS-only,2,0.2968
200,CVSS-only,HRS-only,3,0.3048
200,CVSS-only,HRS-only,4,0.2904
200,CVSS-only,HRS-only,5,0.2904
200,CVSS-only,HRS-only,6,0.2904
200,CVSS-only,HygienePrio-full,1,0.5952
200,CVSS-only,HygienePrio-full,2,0.6248
200,CVSS-only,HygienePrio-full,3,0.6696
200,CVSS-only,HygienePrio-full,4,0.6656
200,CVSS-only,HygienePrio-full,5,0.672
200,CVSS-only,HygienePrio-full,6,0.7008
200,CVSS-only,Random,1,0.0944
200,CVSS-only,Random,2,0.11280000000000001
200,CVSS-only,Random,3,0.1144
200,CVSS-only,Random,4,0.12
200,CVSS-only,Random,5,0.1376
200,CVSS-only,Random,6,0.1592
200,EPSS-only,CVSS-only,1,0.0872
200,EPSS-only,CVSS-only,2,0.06480000000000001
200,EPSS-only,CVSS-only,3,0.0352
200,EPSS-only,CVSS-only,4,0.005600000000000001
200,EPSS-only,CVSS-only,5,0.0008
200,EPSS-only,CVSS-only,6,0.0008
200,EPSS-only,EPSS-only,1,0.3312
200,EPSS-only,EPSS-only,2,0.3712
200,EPSS-only,EPSS-only,3,0.384
200,EPSS-only,EPSS-only,4,0.1344
200,EPSS-only,EPSS-only,5,0.0192
200,EPSS-only,EPSS-only,6,0.012
200,EPSS-only,HRS-only,1,0.28400000000000003
200,EPSS-only,HRS-only,2,0.2096
200,EPSS-only,HRS-only,3,0.0984
200,EPSS-only,HRS-only,4,0.0216
200,EPSS-only,HRS-only,5,0.004
200,EPSS-only,HRS-only,6,0.0016
200,EPSS-only,HygienePrio-full,1,0.5952
200,EPSS-only,HygienePrio-full,2,0.7904000000000001
200,EPSS-only,HygienePrio-full,3,0.35359999999999997
200,EPSS-only,HygienePrio-full,4,0.055200000000000006
200,EPSS-only,HygienePrio-full,5,0.011200000000000002
200,EPSS-only,HygienePrio-full,6,0.008
200,EPSS-only,Random,1,0.0944
200,EPSS-only,Random,2,0.0808
200,EPSS-only,Random,3,0.0288
200,EPSS-only,Random,4,0.005600000000000001
200,EPSS-only,Random,5,0.0
200,EPSS-only,Random,6,0.0
200,HRS-only,CVSS-only,1,0.0872
200,HRS-only,CVSS-only,2,0.10400000000000001
200,HRS-only,CVSS-only,3,0.13119999999999998
200,HRS-only,CVSS-only,4,0.1456
200,HRS-only,CVSS-only,5,0.1656
200,HRS-only,CVSS-only,6,0.17920000000000003
200,HRS-only,EPSS-only,1,0.3312
200,HRS-only,EPSS-only,2,0.40880000000000005
200,HRS-only,EPSS-only,3,0.4808
200,HRS-only,EPSS-only,4,0.5224
200,HRS-only,EPSS-only,5,0.5528
200,HRS-only,EPSS-only,6,0.6215999999999999
200,HRS-only,HRS-only,1,0.28400000000000003
200,HRS-only,HRS-only,2,0.2832
200,HRS-only,HRS-only,3,0.3176
200,HRS-only,HRS-only,4,0.3056
200,HRS-only,HRS-only,5,0.3264
200,HRS-only,HRS-only,6,0.3136
200,HRS-only,HygienePrio-full,1,0.5952
200,HRS-only,HygienePrio-full,2,0.6136
200,HRS-only,HygienePrio-full,3,0.6335999999999999
200,HRS-only,HygienePrio-full,4,0.6559999999999999
200,HRS-only,HygienePrio-full,5,0.6664
200,HRS-only,HygienePrio-full,6,0.7128
200,HRS-only,Random,1,0.0944
200,HRS-only,Random,2,0.1352
200,HRS-only,Random,3,0.1264
200,HRS-only,Random,4,0.1552
200,HRS-only,Random,5,0.1632
200,HRS-only,Random,6,0.18719999999999998
200,HygienePrio-full,CVSS-only,1,0.0872
200,HygienePrio-full,CVSS-only,2,0.0512
200,HygienePrio-full,CVSS-only,3,0.022400000000000003
200,HygienePrio-full,CVSS-only,4,0.016
200,HygienePrio-full,CVSS-only,5,0.0096
200,HygienePrio-full,CVSS-only,6,0.0024
200,HygienePrio-full,EPSS-only,1,0.3312
200,HygienePrio-full,EPSS-only,2,0.0592
200,HygienePrio-full,EPSS-only,3,0.048799999999999996
200,HygienePrio-full,EPSS-only,4,0.0672
200,HygienePrio-full,EPSS-only,5,0.1008
200,HygienePrio-full,EPSS-only,6,0.076
200,HygienePrio-full,HRS-only,1,0.28400000000000003
200,HygienePrio-full,HRS-only,2,0.08
200,HygienePrio-full,HRS-only,3,0.0008
200,HygienePrio-full,HRS-only,4,0.0048
200,HygienePrio-full,HRS-only,5,0.0024
200,HygienePrio-full,HRS-only,6,0.0032
200,HygienePrio-full,HygienePrio-full,1,0.5952
200,HygienePrio-full,HygienePrio-full,2,0.5176000000000001
200,HygienePrio-full,HygienePrio-full,3,0.3464
200,HygienePrio-full,HygienePrio-full,4,0.2544
200,HygienePrio-full,HygienePrio-full,5,0.1384
200,HygienePrio-full,HygienePrio-full,6,0.0752
200,HygienePrio-full,Random,1,0.0944
200,HygienePrio-full,Random,2,0.055999999999999994
200,HygienePrio-full,Random,3,0.032799999999999996
200,HygienePrio-full,Random,4,0.011200000000000002
200,HygienePrio-full,Random,5,0.0088
200,HygienePrio-full,Random,6,0.004
200,Random,CVSS-only,1,0.0872
200,Random,CVSS-only,2,0.10800000000000001
200,Random,CVSS-only,3,0.1072
200,Random,CVSS-only,4,0.1192
200,Random,CVSS-only,5,0.1288
200,Random,CVSS-only,6,0.1472
200,Random,EPSS-only,1,0.3312
200,Random,EPSS-only,2,0.3624
200,Random,EPSS-only,3,0.3968
200,Random,EPSS-only,4,0.4072
200,Random,EPSS-only,5,0.4008
200,Random,EPSS-only,6,0.48800000000000004
200,Random,HRS-only,1,0.28400000000000003
200,Random,HRS-only,2,0.3072
200,Random,HRS-only,3,0.3104
200,Random,HRS-only,4,0.2912
200,Random,HRS-only,5,0.3
200,Random,HRS-only,6,0.32
200,Random,HygienePrio-full,1,0.5952
200,Random,HygienePrio-full,2,0.6344
200,Random,HygienePrio-full,3,0.6696000000000001
200,Random,HygienePrio-full,4,0.6559999999999999
200,Random,HygienePrio-full,5,0.6512
200,Random,HygienePrio-full,6,0.7056
200,Random,Random,1,0.0944
200,Random,Random,2,0.1232
200,Random,Random,3,0.1288
200,Random,Random,4,0.1264
200,Random,Random,5,0.136
200,Random,Random,6,0.1512
